City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Payson,40.0444,-111.7321,37.4,90,100,9.22,US,1675632636
82,Georgetown,5.4112,100.3354,76.95,99,20,0.0,MY,1675632801
83,Saint-Joseph,-21.3667,55.6167,77.38,84,100,10.47,RE,1675632835
84,Bredasdorp,-34.5322,20.0403,70.23,81,100,7.96,ZA,1675632835
85,Lebu,-37.6167,-73.65,63.99,82,1,19.77,CL,1675632836
86,Nikolskoye,59.7035,30.7861,24.69,94,100,8.23,RU,1675632836
87,Lasa,46.6166,10.7002,34.68,91,59,5.84,IT,1675632837
88,Maniitsoq,65.4167,-52.9,3.24,92,100,9.75,GL,1675632837
89,Hervey Bay,-25.2986,152.8535,78.91,85,72,17.74,AU,1675632837
90,Hamilton,39.1834,-84.5333,52.43,57,100,8.01,US,1675632838
91,Avarua,-21.2078,-159.775,82.45,83,75,14.97,CK,1675632838
92,Tasiilaq,65.6145,-37.6368,23.16,95,100,5.53,GL,1675632839
93,Mazagao,-0.115,-51.2894,82.45,86,98,4.7,BR,1675632839
94,College,64.8569,-147.8028,9.07,76,0,6.91,US,1675632839
95,Ilulissat,69.2167,-51.1,1.42,78,100,14.97,GL,1675632823
96,Fairlie,55.756,-4.8556,45.18,82,100,3.0,GB,1675632840
97,Shaunavon,49.6501,-108.4181,29.98,84,94,10.67,CA,1675632840
98,Los Llanos De Aridane,28.6585,-17.9182,56.95,71,75,9.22,ES,1675632841
99,Chuy,-33.6971,-53.4616,70.88,70,0,9.71,UY,1675632693
100,Kandrian,-6.2167,149.55,81.52,76,83,4.03,PG,1675632842
101,Saskylakh,71.9167,114.0833,-42.72,100,95,4.12,RU,1675632844
102,Nagato,34.3833,131.2,41.95,67,100,4.05,JP,1675632844
103,Zeya,53.75,127.2667,-17.43,97,82,1.25,RU,1675632846
104,Urucui,-7.2294,-44.5561,81.84,62,99,3.51,BR,1675632846
105,Hilo,19.7297,-155.09,78.28,84,100,5.75,US,1675632768
106,Constitucion,-35.3333,-72.4167,65.1,78,17,7.85,CL,1675632656
107,Ahipara,-35.1667,173.1667,66.07,94,92,7.45,NZ,1675632848
108,Urengoy,65.9667,78.3667,-15.9,100,77,2.24,RU,1675632848
109,Leningradskiy,69.3833,178.4167,-22.47,98,100,4.18,RU,1675632755
110,Iqaluit,63.7506,-68.5145,-18.31,68,100,16.11,CA,1675632588
111,Jinka,5.65,36.65,70.32,38,70,0.58,ET,1675632852
112,Hithadhoo,-0.6,73.0833,80.49,71,82,9.75,MV,1675632852
113,Constantine,36.365,6.6147,40.41,93,20,2.3,DZ,1675632853
114,Honningsvag,70.9821,25.9704,37.15,81,75,29.93,NO,1675632853
115,Santiago Tuxtla,18.4667,-95.3,68.9,91,99,6.82,MX,1675632854
116,Souillac,-20.5167,57.5167,79.18,83,40,4.61,MU,1675632854
117,Ribeira Grande,38.5167,-28.7,61.77,88,75,11.99,PT,1675632855
118,Saint-Philippe,-21.3585,55.7679,78.39,87,100,11.39,RE,1675632855
119,Dolinsk,47.35,142.8,2.62,96,96,3.09,RU,1675632856
120,Bilma,18.6853,12.9164,67.62,13,4,18.61,NE,1675632857
121,Markova,48.6758,24.4138,19.9,95,100,7.09,UA,1675632857
122,Narsaq,60.9167,-46.05,19.62,86,100,11.83,GL,1675632858
123,Cidreira,-30.1811,-50.2056,76.57,71,56,10.74,BR,1675632763
124,Provideniya,64.3833,-173.3,5.36,72,100,13.42,RU,1675632859
125,Kodiak,57.79,-152.4072,38.71,100,100,16.11,US,1675632813
126,Mahebourg,-20.4081,57.7,80.26,83,40,4.61,MU,1675632860
127,Davila,18.4726,120.5763,69.78,77,93,6.08,PH,1675632860
128,Nenjiang,49.1833,125.2167,-23.3,100,91,1.43,CN,1675632861
129,Angoram,-4.0625,144.0661,74.28,99,100,1.99,PG,1675632861
130,Norman Wells,65.282,-126.8329,-18.36,76,100,2.3,CA,1675632841
131,Hobart,-42.8794,147.3294,63.05,69,20,11.5,AU,1675632862
132,Puerto Ayora,-0.7393,-90.3518,85.96,89,30,7.0,EC,1675632863
133,Bijar,35.8668,47.6051,18.1,98,100,2.44,IR,1675632864
134,Kudahuvadhoo,2.6708,72.8944,79.36,78,97,3.6,MV,1675632864
135,Saldanha,-33.0117,17.9442,66.25,91,8,18.92,ZA,1675632865
136,Torbay,47.6666,-52.7314,24.39,79,100,16.11,CA,1675632866
137,Jaypur,18.85,82.5833,59.88,36,3,1.81,IN,1675632867
138,Litovko,49.2361,135.1742,-23.57,100,55,2.17,RU,1675632868
139,Garhakota,23.7667,79.15,61.23,38,0,2.17,IN,1675632869
140,Bambous Virieux,-20.3428,57.7575,80.22,83,40,4.61,MU,1675632869
141,Tuatapere,-46.1333,167.6833,57.99,91,89,12.88,NZ,1675632762
142,Ouargaye,11.5033,0.0572,83.86,13,87,8.59,BF,1675632870
143,Vestmannaeyjar,63.4427,-20.2734,45.57,76,100,37.07,IS,1675632870
144,Williams Lake,52.1415,-122.1445,40.57,75,40,4.61,CA,1675632648
145,Kununurra,-15.7667,128.7333,75.18,94,35,0.0,AU,1675632871
146,San Carlos De Bariloche,-41.1456,-71.3082,78.55,21,0,19.57,AR,1675632622
147,Kavaratti,10.5669,72.642,80.01,76,24,7.61,IN,1675632866
148,Khatanga,71.9667,102.5,-35.01,99,59,5.95,RU,1675632871
149,Yalutorovsk,56.6536,66.3006,-3.95,100,100,1.41,RU,1675632872
150,Dalby,-27.1833,151.2667,74.98,65,95,1.01,AU,1675632872
151,Severnyy,50.677,36.5532,17.64,93,0,4.47,RU,1675632873
152,Horodyshche,49.2849,31.4451,25.65,95,100,11.61,UA,1675632873
